ID,FILENAME,FOLD,CLASS,LABEL
1,00176480_nohash_0.wav,bed/,bed,0
2,004ae714_nohash_0.wav,bed/,bed,0
3,004ae714_nohash_1.wav,bed/,bed,0
4,00f0204f_nohash_0.wav,bed/,bed,0
5,00f0204f_nohash_1.wav,bed/,bed,0
6,012c8314_nohash_0.wav,bed/,bed,0
7,012c8314_nohash_1.wav,bed/,bed,0
8,0132a06d_nohash_0.wav,bed/,bed,0
9,0135f3f2_nohash_0.wav,bed/,bed,0
10,0137b3f4_nohash_0.wav,bed/,bed,0
11,014f9f65_nohash_0.wav,bed/,bed,0
12,01648c51_nohash_0.wav,bed/,bed,0
13,01648c51_nohash_1.wav,bed/,bed,0
14,016e2c6d_nohash_0.wav,bed/,bed,0
15,01b4757a_nohash_0.wav,bed/,bed,0
16,01b4757a_nohash_1.wav,bed/,bed,0
17,01bcfc0c_nohash_0.wav,bed/,bed,0
18,0227998e_nohash_0.wav,bed/,bed,0
19,026290a7_nohash_0.wav,bed/,bed,0
20,02746d24_nohash_0.wav,bed/,bed,0
21,035de8fe_nohash_0.wav,bed/,bed,0
22,0362539c_nohash_0.wav,bed/,bed,0
23,0362539c_nohash_1.wav,bed/,bed,0
24,037c445a_nohash_0.wav,bed/,bed,0
25,0397ecda_nohash_0.wav,bed/,bed,0
26,03c96658_nohash_0.wav,bed/,bed,0
27,042186b8_nohash_0.wav,bed/,bed,0
28,042ea76c_nohash_0.wav,bed/,bed,0
29,0447d7c1_nohash_0.wav,bed/,bed,0
30,0474c92a_nohash_0.wav,bed/,bed,0
31,0474c92a_nohash_1.wav,bed/,bed,0
32,05739450_nohash_0.wav,bed/,bed,0
33,05b2db80_nohash_0.wav,bed/,bed,0
34,05d18852_nohash_0.wav,bed/,bed,0
35,06076b6b_nohash_0.wav,bed/,bed,0
36,060cd039_nohash_0.wav,bed/,bed,0
37,060cd039_nohash_1.wav,bed/,bed,0
38,063d48cf_nohash_0.wav,bed/,bed,0
39,063d48cf_nohash_1.wav,bed/,bed,0
40,0685264e_nohash_0.wav,bed/,bed,0
41,07363607_nohash_0.wav,bed/,bed,0
42,079dfce3_nohash_0.wav,bed/,bed,0
43,079dfce3_nohash_1.wav,bed/,bed,0
44,079dfce3_nohash_2.wav,bed/,bed,0
45,07c5129e_nohash_0.wav,bed/,bed,0
46,099d52ad_nohash_0.wav,bed/,bed,0
47,09bcdc9d_nohash_0.wav,bed/,bed,0
48,09bcdc9d_nohash_1.wav,bed/,bed,0
49,09ddc105_nohash_0.wav,bed/,bed,0
